id,target
5,1.0
6,1.0
8,0.0
9,0.0
11,0.0
15,1.0
16,0.0
17,0.0
21,1.0
24,0.0
26,0.0
27,1.0
28,1.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
38,0.0
42,0.0
44,0.0
45,0.0
48,0.0
50,0.0
53,0.0
54,1.0
57,0.0
59,0.0
62,1.0
63,1.0
64,0.0
65,0.0
66,0.0
70,0.0
71,0.0
76,0.0
78,0.0
79,0.0
81,0.0
83,1.0
85,1.0
86,1.0
88,0.0
89,0.0
91,1.0
93,0.0
94,1.0
97,0.0
99,0.0
102,0.0
103,0.0
104,0.0
107,1.0
110,0.0
114,0.0
119,0.0
130,1.0
131,0.0
132,1.0
133,0.0
136,0.0
139,0.0
143,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
153,0.0
157,0.0
160,0.0
165,1.0
167,0.0
170,0.0
176,0.0
179,0.0
180,0.0
181,0.0
185,0.0
187,1.0
191,1.0
192,0.0
193,0.0
197,1.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
206,0.0
209,0.0
210,1.0
211,0.0
213,0.0
214,0.0
216,0.0
221,0.0
222,0.0
223,1.0
226,0.0
228,1.0
229,1.0
233,0.0
236,1.0
239,0.0
242,0.0
244,1.0
247,0.0
250,0.0
251,0.0
253,0.0
258,0.0
259,0.0
260,1.0
261,0.0
262,0.0
263,0.0
267,1.0
268,0.0
269,0.0
271,0.0
276,0.0
283,0.0
286,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
298,0.0
300,1.0
302,1.0
304,1.0
305,0.0
307,1.0
309,0.0
314,0.0
315,0.0
316,0.0
317,0.0
319,1.0
320,0.0
322,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
339,0.0
340,0.0
342,1.0
344,0.0
345,0.0
348,0.0
349,0.0
351,0.0
352,0.0
354,1.0
357,0.0
358,0.0
360,0.0
362,0.0
365,0.0
366,0.0
367,0.0
369,0.0
373,1.0
375,0.0
377,1.0
380,1.0
384,0.0
388,0.0
391,0.0
397,0.0
403,0.0
404,0.0
405,0.0
408,0.0
409,0.0
410,0.0
411,1.0
412,0.0
414,0.0
420,0.0
422,0.0
425,0.0
428,0.0
429,0.0
431,1.0
437,0.0
438,0.0
441,0.0
445,0.0
447,1.0
448,0.0
452,0.0
453,0.0
459,1.0
461,0.0
464,0.0
465,0.0
467,0.0
469,0.0
470,1.0
475,1.0
476,0.0
483,1.0
484,0.0
485,0.0
488,0.0
493,1.0
495,0.0
498,0.0
499,0.0
501,0.0
505,0.0
507,0.0
514,0.0
519,0.0
520,0.0
524,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
533,1.0
536,0.0
537,0.0
538,0.0
540,0.0
541,0.0
543,0.0
544,1.0
548,1.0
552,0.0
555,0.0
556,0.0
557,1.0
558,0.0
560,0.0
563,0.0
567,0.0
573,0.0
574,1.0
576,0.0
578,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
586,0.0
587,1.0
591,0.0
592,0.0
593,0.0
595,0.0
597,0.0
601,0.0
603,0.0
605,0.0
608,1.0
611,0.0
612,0.0
617,0.0
619,1.0
622,1.0
623,1.0
624,0.0
625,0.0
630,0.0
632,0.0
634,0.0
637,0.0
638,1.0
640,0.0
642,0.0
644,1.0
647,0.0
648,1.0
649,0.0
650,0.0
653,0.0
655,0.0
658,0.0
660,0.0
664,1.0
665,0.0
666,0.0
667,1.0
668,1.0
672,0.0
674,0.0
675,1.0
676,1.0
677,1.0
678,0.0
679,0.0
680,0.0
682,0.0
683,1.0
686,1.0
692,1.0
694,0.0
695,1.0
696,0.0
701,0.0
707,0.0
708,1.0
713,0.0
715,0.0
716,1.0
724,0.0
726,0.0
727,0.0
731,1.0
736,0.0
737,0.0
738,0.0
740,0.0
741,0.0
745,0.0
746,0.0
747,0.0
748,1.0
749,1.0
753,0.0
755,0.0
758,0.0
762,0.0
765,0.0
770,0.0
772,0.0
774,0.0
776,1.0
778,0.0
779,0.0
781,0.0
783,0.0
784,1.0
785,1.0
786,0.0
791,0.0
796,1.0
797,0.0
802,0.0
807,0.0
815,0.0
816,0.0
818,1.0
821,0.0
822,0.0
828,1.0
833,1.0
835,0.0
836,0.0
837,0.0
840,0.0
843,1.0
850,0.0
852,1.0
856,1.0
857,0.0
859,0.0
861,1.0
862,0.0
863,0.0
864,1.0
865,0.0
869,0.0
872,0.0
876,0.0
877,0.0
878,0.0
880,0.0
883,1.0
888,1.0
889,0.0
890,0.0
894,0.0
896,1.0
898,0.0
903,0.0
905,0.0
906,0.0
907,0.0
908,1.0
911,0.0
914,1.0
918,0.0
919,0.0
920,0.0
922,0.0
923,0.0
924,0.0
925,0.0
930,0.0
931,0.0
933,0.0
934,0.0
936,0.0
937,0.0
942,0.0
944,1.0
951,0.0
952,0.0
953,0.0
959,1.0
961,0.0
962,0.0
964,1.0
967,0.0
968,1.0
971,0.0
973,0.0
975,0.0
976,1.0
977,1.0
982,0.0
983,0.0
984,0.0
985,1.0
989,0.0
991,0.0
994,0.0
996,1.0
1000,1.0
1005,0.0
1008,0.0
1009,0.0
1010,0.0
1018,1.0
1019,0.0
1021,0.0
1024,1.0
1025,0.0
1028,1.0
1030,0.0
1031,1.0
1032,1.0
1033,0.0
1034,0.0
1037,1.0
1042,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,1.0
1055,1.0
1061,0.0
1069,1.0
1072,0.0
1073,0.0
1075,0.0
1076,0.0
1086,0.0
1087,1.0
1088,0.0
1089,0.0
1091,0.0
1093,0.0
1094,1.0
1097,0.0
1098,0.0
1102,0.0
1103,0.0
1105,0.0
1108,0.0
1117,1.0
1126,0.0
1136,0.0
1143,0.0
1144,0.0
1145,0.0
1147,1.0
1148,0.0
1151,0.0
1155,0.0
1157,0.0
1158,0.0
1159,0.0
1162,0.0
1164,0.0
1165,0.0
1169,0.0
1171,0.0
1173,0.0
1174,1.0
1175,0.0
1177,0.0
1178,1.0
1179,1.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1186,1.0
1189,0.0
1191,0.0
1192,1.0
1193,1.0
1195,0.0
